Terrorist (Total Destruction Mix);Primitive (Special Edition);Soulfly;2000;279;13;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\2000 - Primitive (Special Edition)\13 - Terrorist (Total Destruction Mix).mp3
Back To The Primitive (Dub Shit Up Mix);Primitive (Special Edition);Soulfly;2000;274;14;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\2000 - Primitive (Special Edition)\14 - Back To The Primitive (Dub Shit Up Mix).mp3
Bring It (Armageddon Mix);Primitive (Special Edition);Soulfly;2000;207;15;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\2000 - Primitive (Special Edition)\15 - Bring It (Armageddon Mix).mp3
Soulfire;Primitive (Special Edition);Soulfly;2000;315;16;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\2000 - Primitive\2000 - Primitive (Special Edition)\16 - Soulfire.mp3
Downstroy;3 (Digipak);Soulfly;2002;265;1;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\01 - Downstroy.mp3
Seek'N'Strike;3 (Digipak);Soulfly;2002;268;2;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\02 - Seek'n'Strike.mp3
Enter Faith;3 (Digipak);Soulfly;2002;286;3;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\03 - Enter Faith.mp3
One (Feat. Cristian Machado);3 (Digipak);Soulfly;2002;323;4;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\04 - One (feat. Cristian Machado).mp3
L.O.T.M.;3 (Digipak);Soulfly;2002;156;5;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\05 - L.O.T.M.mp3
Brasil;3 (Digipak);Soulfly;2002;301;6;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\06 - Brasil.mp3
Tree Of Pain (Feat. Asha Rabouin & Ritchie Cavalera);3 (Digipak);Soulfly;2002;500;7;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\07 - Tree Of Pain (feat. Asha Rabouin & Ritchie Cavalera).mp3
One Nation (Feat. Greg Hall & Wiley Arnett) (Sacred Reich Cover);3 (Digipak);Soulfly;2002;223;8;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\08 - One Nation (feat. Greg Hall & Wiley Arnett) (Sacred Reich cover).mp3
9-11-01;3 (Digipak);Soulfly;2002;61;9;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\09 - 9-11-01.mp3
Call To Arms (Feat. Danny Marianino);3 (Digipak);Soulfly;2002;84;10;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\10 - Call To Arms (feat. Danny Marianino).mp3
Four Elements;3 (Digipak);Soulfly;2002;262;11;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\11 - Four Elements.mp3
Soulfly Iii;3 (Digipak);Soulfly;2002;301;12;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\12 - Soulfly III.mp3
13 - Sangue De Bairro (Chico Science & Nação Zumbi cover);;;;0;0;;D:\MUSICA\Soulfly\2002 - 3\13 - Sangue De Bairro (Chico Science & Nação Zumbi cover).mp3
Zumbi;3 (Digipak);Soulfly;2002;377;14;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\14 - Zumbi.mp3
I Will Refuse (Pailhead Cover) (Bonus Track);3 (Digipak);Soulfly;2002;247;15;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\15 - I Will Refuse (Pailhead cover) (Bonus track).mp3
Under The Sun (Black Sabbath Cover) (Bonus Track);3 (Digipak);Soulfly;2002;348;16;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\16 - Under The Sun (Black Sabbath cover) (Bonus track).mp3
Eye For An Eye (Live At Ozzfest 2000) (Bonus Track);3 (Digipak);Soulfly;2002;249;17;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\17 - Eye For An Eye (Live at OzzFest 2000) (Bonus track).mp3
Pain (Live At Ozzfest 2000) (Bonus Track);3 (Digipak);Soulfly;2002;301;18;Groove Metal/Nu Metal;D:\MUSICA\Soulfly\2002 - 3\18 - Pain (Live at OzzFest 2000) (Bonus track).mp3
Prophecy (Feat. David Ellefson);Prophecy (Japanese Limited Edition);Soulfly;2004;216;1;Groove Metal/Death Metal;D:\MUSICA\Soulfly\2004 - Prophecy\01 - Prophecy (feat. David Ellefson).mp3
